Org Name,The Bucket Ministry Nigeria,Unnamed: 2,Unnamed: 3,Unnamed: 4
Village,Zone,Tribe,Language,NS Materials
,,,English,Printed Bible
,,,Swahili,Mega Voice
,,,Other,Other Audio Bible
