Language,Content Name,Content Type,Encoded
Portuguese,Temas Bíblicos-Espírito Santo,Bible Project,x
Portuguese,Temas Bíblicos-Exílio,Bible Project,x
Portuguese,Temas Bíblicos-Filho do Homem,Bible Project,x
Portuguese,Temas Bíblicos-Generosidade,Bible Project,x
Portuguese,Temas Bíblicos-Imagem de Deus,Bible Project,x
Portuguese,Temas Bíblicos-Justiça,Bible Project,x
Portuguese,Temas Bíblicos-Messias,Bible Project,x
Portuguese,Temas Bíblicos-Os últimos serão os primeiros,Bible Project,x
Portuguese,Temas Bíblicos-Sacrifício e Expiação,Bible Project,x
Portuguese,Temas Bíblicos-Santidade,Bible Project,x
Portuguese,Temas Bíblicos-Templo,Bible Project,x
Portuguese,Temas Bíblicos-Vida Eterna,Bible Project,x
Spanish,The Last Will be the First,Bible Project,x
Spanish,Water of Life,Bible Project,x
English,What is the Bible,Bible Project,x
Spanish,What is the Bible,Bible Project,x
Kiswahili,Wisdom Series-Ecclesiastes,Bible Project,x
Kiswahili,Wisdom Series-Job,Bible Project,x
Kiswahili,Wisdom Series-Proverbs,Bible Project,x
English,Word Series - Khata Sin,Bible Project,x
Spanish,Word Study-Gospel,Bible Project,x
Spanish,Word Study-Khata Sin,Bible Project,x
Spanish,Jesus Film,Jesus Film,x
Spanish,Sawyer Bucket Filter Video,Sawyer Instructions,x
Spanish,Sawyer Tap Filter Video,Sawyer Instructions,x
Suba,Bible,Bible,x
Suba,Jesus Film,Jesus Film,x
Suba,Magdalena,Jesus Film,x
Taita,Bible,Bible,x
Taita,Jesus Film,Jesus Film,x
Tampulma,Bible,Bible,x
Tampulma,Jesus Film,Jesus Film,x
Tenharim,Bible (PDF),Bible,x
Terena,Bible,Bible,x
Tharaka,Bible,Bible,x
Tharaka,Jesus Film,Jesus Film,x
Tiv,Bible,Bible,x
Tukano,Bible,Bible,x
Turkana,Bible,Bible,x
Turkana,Jesus Film,Jesus Film,x
Tuwuli,Bible,Bible,x
Tyap,Bible,Bible,x
UaiUai,Bible,Bible,x
Vagla,Bible,Bible,x
Vagla,Jesus Film,Jesus Film,x
Wali,Bible,Bible,x
Wali,Jesus Film,Jesus Film,x
Xavante,Bible (PDF),Bible,x
Yoruba,Bible,Bible,x
